rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount
20200330003851,11011,2019,00126380,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 51 기,181385260000000,제 50 기,174697424000000,제 49 기,146982464000000,1,KRW,
20200330003851,11011,2019,00126380,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 51 기,26885999000000,제 50 기,30340505000000,제 49 기,30545130000000,2,KRW,
20200330003851,11011,2019,00126380,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 51 기,76252052000000,제 50 기,65893797000000,제 49 기,49447696000000,3,KRW,
20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,단기매도가능금융자산,-,제 51 기,,제 50 기,,제 49 기,3191375000000,4,KRW,
20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,단기상각후원가금융자산,-,제 51 기,3914216000000,제 50 기,2703693000000,제 49 기,,5,KRW,
20200330003851,11011,2019,00126380,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,단기당기손익-공정가치금융자산,-,제 51 기,1727436000000,제 50 기,2001948000000,제 49 기,,6,KRW,
20200330003851,11011,2019,00126380,BS,재무상태표,dart_ShortTermTradeReceivable,매출채권,-,제 51 기,35131343000000,제 50 기,33867733000000,제 49 기,27695995000000,7,KRW,
20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,미수금,-,제 51 기,4179120000000,제 50 기,3080733000000,제 49 기,4108961000000,8,KRW,
20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,선급금,-,제 51 기,1426833000000,제 50 기,1361807000000,제 49 기,1753673000000,9,KRW,
20200330003851,11011,2019,00126380,BS,재무상태표,-표준계정코드 미사용-,선급비용,-,제 51 기,2406220000000,제 50 기,4136167000000,제 49 기,3835219000000,10,KRW,
20200330003851,11011,2019,00126380,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 51 기,26766464000000,제 50 기,28984704000000,제 49 기,24983355000000,11,KRW,
